CÓDIGO RENIPRESS,lat,lon
00034686,-11.88632349,-77.12639714
00033175,-11.8725009,-77.1267071
00032199,-11.87335917,-77.12629963
00031397,-11.8327512,-77.1406069
00031652,-11.84001113,-77.15538181
00007314,-11.83265968,-77.1419038
00029134,-11.875446,-77.1276629
00028334,-11.8724668,-77.1100116
00012081,-11.8422825,-77.1153188
00029329,-11.83251519,-77.1444156
00035577,-11.8326081,-77.1284315
00031010,-11.8537358,-77.1250996
00036008,-13.53195,-71.9674626
00032320,-13.52033314,-71.97850919
00031967,-13.52186777,-71.94844149
00002293,-13.50752366,-71.99757387
00029623,-13.52290189,-71.98113642
00010014,-13.5319123,-71.9398779
00016541,-13.5222417,-71.9534577
00015585,-13.524929,-71.97400114
00002291,-13.5164434,-71.98250368
00002290,-13.51958323,-71.99185313
00031089,-13.54918,-71.893158
00021187,-13.5437613,-71.8934573
00034678,-13.5252775,-71.9458332
00032355,-13.52677874,-71.93792239
00025584,-13.5283134,-71.9398445
00002306,-13.5254705,-71.97891022
00002305,-13.53083729,-71.97558395
00002314,-13.57255757,-71.82580275
00036649,-13.5247625,-71.9571437
00035865,-13.53195,-71.9674626
00036989,-13.5171034,-71.9754126
00035870,-13.53079832,-71.94561458
00035850,-13.53195,-71.9674626
00035616,-13.52218994,-71.96382142
00035866,-13.5268835,-71.9596899
00032717,-13.5237037,-71.96148775
00036973,-13.5225711,-71.9707691
00035231,-13.52572643,-71.96664378
00035504,-13.53195,-71.9674626
00033650,-13.52345334,-71.95466421
00033660,-13.52307782,-71.96354769
00033383,-13.52811136,-71.94304109
00034679,-13.52502893,-71.95604042
00011339,-13.5457836,-71.8860572
00032318,-13.5288868,-71.9685427
00032060,-13.527884,-71.9420704
00031576,-13.5242854,-71.9573034
00031837,-13.53195,-71.9674626
00030741,-13.5346909,-71.9490257
00019551,-13.52840746,-71.94311801
00027176,-13.5232914,-71.9611065
00029616,-13.5231878,-71.96317107
00028996,-13.52697271,-71.96099973
